policy,scenario,seed,clusters,requests,measured,trace_sha256,ttft_mean_s,ttft_p95_s,e2e_mean_s,e2e_p95_s,p_wait_mean_s,prefill_mean_s,d_wait_mean_s,token_hit_ratio,switch_ratio,completed_rps,drain_seconds,max_decode_batch,observation_samples,case
least_wait,steady,31,16,1800,1440,ce6612573e5185e834171db509f1fa0b58629407d01e8454c1177e2d38533ddd,0.4188748896655944,1.2870890966562456,3.3108715255537016,4.865369954793074,0.012993822592139052,0.3498336987654321,0.013065260825091806,0.5120154200893501,0.7986111111111112,25.78930368714101,4.74668443352823,13,280,steady_16
algorithm_one,steady,31,16,1800,1440,ce6612573e5185e834171db509f1fa0b58629407d01e8454c1177e2d38533ddd,0.2847414908232809,1.2226025478782319,3.176312194731767,4.597794796695695,0.09143325876103717,0.1320559209876543,0.01830827682352824,0.829784551088053,0.0,25.211117552607885,6.34737897528143,16,286,steady_16
algorithm_two,steady,31,16,1800,1440,ce6612573e5185e834171db509f1fa0b58629407d01e8454c1177e2d38533ddd,0.31355832541173556,1.2314931388888866,3.2053344464942217,4.649550845369731,0.05204372794202792,0.20105592098765432,0.017499667740637548,0.729103617235913,0.17777777777777778,25.80008807250423,4.717509686527336,16,280,steady_16
round_robin,steady,47,16,1800,1440,d7747cddd2601c25669f51fe238ee9cd7b5062be81b480d551bfa8f6d9844194,0.7220714065966548,1.9638907215970889,3.6019780222137303,5.576090550752923,0.3049506574140458,0.36072036049382716,0.013087926506970321,0.5069048836840155,0.80625,26.233618822463182,4.790856427390928,12,275,steady_16
least_wait,steady,47,16,1800,1440,d7747cddd2601c25669f51fe238ee9cd7b5062be81b480d551bfa8f6d9844194,0.4667795282431131,1.3830239757355045,3.3466754621674264,5.033502032487787,0.0482077852950157,0.3619549283950617,0.01332549629676837,0.5051411841478686,0.8159722222222222,26.331681509550002,4.535327838193872,13,274,steady_16
algorithm_one,steady,47,16,1800,1440,d7747cddd2601c25669f51fe238ee9cd7b5062be81b480d551bfa8f6d9844194,0.28573195032166393,1.2184237346518785,3.1654795590941673,4.741449257793537,0.10240143524465234,0.12694258271604938,0.01311162723028203,0.8408790278488156,0.0,26.431616519112087,4.27687110827555,16,273,steady_16
algorithm_two,steady,47,16,1800,1440,d7747cddd2601c25669f51fe238ee9cd7b5062be81b480d551bfa8f6d9844194,0.36832330163782473,1.3051642469642175,3.2480903000579904,4.868991123314494,0.06804071415912913,0.22991789135802468,0.027087440076233853,0.6937688495387926,0.21319444444444444,26.39973576065663,4.359110112906315,16,273,steady_16
round_robin,steady,89,16,1800,1440,3d2db917cf0115d8b502a554ac3ebf52e08bdd0df5c64841ba9b371195192301,0.651701907405295,1.7156753025433105,3.5610836031769577,5.410781356453235,0.23918703754028406,0.3569895160493827,0.012794657079539862,0.49260325200271304,0.8090277777777778,24.978253845131672,4.311397554614118,10,289,steady_16
least_wait,steady,89,16,1800,1440,3d2db917cf0115d8b502a554ac3ebf52e08bdd0df5c64841ba9b371195192301,0.4116242351825668,1.2764859803189559,3.321174692919191,4.854020641171127,0.009233516876502921,0.34661914567901236,0.013052897195300608,0.5080016864952063,0.7972222222222223,24.873446906369328,4.615041407431448,12,290,steady_16
algorithm_one,steady,89,16,1800,1440,3d2db917cf0115d8b502a554ac3ebf52e08bdd0df5c64841ba9b371195192301,0.27154121169818674,1.2155905761604267,3.1806930817599817,4.589216164527535,0.08656028741965632,0.12931050370370373,0.012999180334160556,0.8306722149914759,0.0,24.998847311330593,4.2520340000722,16,289,steady_16
algorithm_two,steady,89,16,1800,1440,3d2db917cf0115d8b502a554ac3ebf52e08bdd0df5c64841ba9b371195192301,0.31640547801209185,1.2352619463684391,3.225882308437343,4.764626922240922,0.054235289455034565,0.20033519506172842,0.019137502766493775,0.725211270187531,0.14722222222222223,24.99619849809018,4.259664094188707,16,289,steady_16
round_robin,steady,31,8,1800,1440,00b06e4e5b5215f2905e1e01fae022352a3f9a85b379e4643d1ecacfcdf25111,0.3345277295978892,1.230978437933544,3.2258887349712433,4.736621197376081,0.003332365321501809,0.27782135308641975,0.010405375726958975,0.6170917999711774,0.7722222222222223,3.9176563452394455,4.11051227083334,4,1838,light_8
least_wait,steady,31,8,1800,1440,00b06e4e5b5215f2905e1e01fae022352a3f9a85b379e4643d1ecacfcdf25111,0.3336388913556472,1.2310753410519624,3.2249953395729727,4.758363760658341,0.0,0.28053740246913583,0.010146225485902674,0.6131286928952299,0.7520833333333333,3.917175229474298,4.16694392182103,6,1839,light_8
algorithm_one,steady,31,8,1800,1440,00b06e4e5b5215f2905e1e01fae022352a3f9a85b379e4643d1ecacfcdf25111,0.20231043021556777,0.6619965280838898,3.093664101230748,4.440015801294891,0.017771944324377426,0.1320559209876543,0.009561532470453995,0.829784551088053,0.0,3.9171245874746026,4.172884694942695,8,1839,light_8
algorithm_two,steady,31,8,1800,1440,00b06e4e5b5215f2905e1e01fae022352a3f9a85b379e4643d1ecacfcdf25111,0.20214706947107114,0.6493147052970585,3.0935306678051684,4.426952193798286,0.010143826166090303,0.13896950123456792,0.010094390202413293,0.8196966421674593,0.013194444444444444,3.9105879691875707,4.940981900323607,10,1842,light_8
round_robin,steady,47,8,1800,1440,422d356515be7d45629449643056e2509fe24885bac14d9d82d400c3565c2ace,0.3424096234660911,1.2296236236454945,3.222296948922497,4.73017422351694,0.0024598121185380466,0.286535175308642,0.010120137259991314,0.6128855888110901,0.7618055555555555,3.9904919274475525,4.308473232760832,5,1805,light_8
least_wait,steady,47,8,1800,1440,422d356515be7d45629449643056e2509fe24885bac14d9d82d400c3565c2ace,0.3365699764520706,1.2246888687058686,3.216391027957833,4.724784678417905,0.0,0.2831894962962963,0.010097357256212438,0.6176652145540485,0.7645833333333333,3.9902654867056944,4.334070809033278,6,1805,light_8
algorithm_one,steady,47,8,1800,1440,422d356515be7d45629449643056e2509fe24885bac14d9d82d400c3565c2ace,0.1959462366046807,0.7520279071228231,3.0757972844176513,4.438682021111333,0.01615708655485623,0.12694258271604938,0.009590177344207173,0.8408790278488156,0.0,3.990688105796838,4.286298961408136,7,1805,light_8
algorithm_two,steady,47,8,1800,1440,422d356515be7d45629449643056e2509fe24885bac14d9d82d400c3565c2ace,0.19599335185274522,0.6414664966110308,3.075819315515651,4.443222184188642,0.009416333864428299,0.13317715061728397,0.010150199024310838,0.8319723451912732,0.011111111111111112,3.9907531696064003,4.278945203314493,10,1805,light_8
round_robin,steady,89,8,1800,1440,f14441b3c9e01cfedbac2d82e257d6c40a3dfddc8251096a9418f43ad23fda6b,0.33551929755304677,1.2244893911747852,3.24459477074505,4.784312033631949,0.0028427869919208227,0.2802734666666667,0.009684501259518452,0.6065150043078954,0.7527777777777778,3.7648348857400014,3.849615604700375,4,1913,light_8
least_wait,steady,89,8,1800,1440,f14441b3c9e01cfedbac2d82e257d6c40a3dfddc8251096a9418f43ad23fda6b,0.3365500567188629,1.2314931388888795,3.2456586197458144,4.7801721779513855,0.0,0.28390309629629634,0.009966722624565744,0.6011255522355228,0.7458333333333333,3.764772473438926,3.857541677033794,8,1913,light_8
algorithm_one,steady,89,8,1800,1440,f14441b3c9e01cfedbac2d82e257d6c40a3dfddc8251096a9418f43ad23fda6b,0.19589408378122938,0.6663643161745654,3.1050090443735887,4.416819164803769,0.014041414510535569,0.12931050370370373,0.00986403461942559,0.8306722149914759,0.0,3.764736209529592,3.8621471457837515,9,1913,light_8
algorithm_two,steady,89,8,1800,1440,f14441b3c9e01cfedbac2d82e257d6c40a3dfddc8251096a9418f43ad23fda6b,0.19549283444782894,0.6368462237613528,3.104605203974954,4.4456025852798575,0.006476911667751602,0.13691544197530864,0.009416902968312416,0.8193800296969808,0.016666666666666666,3.7650697290037143,3.819793955679586,9,1913,light_8
round_robin,hot_shift,31,8,1800,1440,b59af39ad7fb23b17335edb21468d8271d9a912298dde0d36d6af1d14623cb49,0.554116211356494,1.4948506545903228,3.442290639963138,5.276962533992219,0.18838159207376357,0.310252237037037,0.012870850209031774,0.5583767601729682,0.7715277777777778,13.316752213759056,5.068704848853798,11,541,hot_shift_8
least_wait,hot_shift,31,8,1800,1440,b59af39ad7fb23b17335edb21468d8271d9a912298dde0d36d6af1d14623cb49,0.40808054159793156,1.2748192673215328,3.296280472542845,4.805137469141435,0.03210880646958435,0.3203510024691358,0.013014778836159617,0.5432605240787967,0.7534722222222222,13.373044218179851,4.499733210277299,12,539,hot_shift_8
algorithm_one,hot_shift,31,8,1800,1440,b59af39ad7fb23b17335edb21468d8271d9a912298dde0d36d6af1d14623cb49,0.43967482053694545,1.580559509378034,3.327712238753248,5.263723411604417,0.08206974655046778,0.13386952098765434,0.18115931289380435,0.8223934656465979,0.0,13.397821412007572,4.250813000541967,16,538,hot_shift_8
algorithm_two,hot_shift,31,8,1800,1440,b59af39ad7fb23b17335edb21468d8271d9a912298dde0d36d6af1d14623cb49,0.31149811241604874,1.2468651464929223,3.199510545917681,4.707820917902282,0.0642970322493912,0.18648680493827158,0.01813641185545683,0.743633810104594,0.1111111111111111,13.212456370622364,6.135688142190844,16,545,hot_shift_8
round_robin,hot_shift,47,8,1800,1440,f7c00c911b15c16cced09070fe8c1ae2b475575aa962f107068d6ae4a7462ba7,0.6437698235876527,1.964255526833142,3.5196818202110154,5.4284561782128975,0.2694681546384003,0.318700024691358,0.012738116194876577,0.5537637337691819,0.7590277777777777,13.53349923455904,5.356514635250036,12,533,hot_shift_8
